Amazon.com,2/16/2015,Minicar Champion : Circuit Race,004A10AA,19,0.00,0,0.00,USD
Amazon.com,2/16/2015,Highway Rally,003A10AA,23,0.00,0,0.00,USD
Amazon.com,2/16/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,USD
Amazon.com,2/16/2015,Crash Drive 2,,331,0.00,0,0.00,USD
Amazon.com,2/17/2015,Cowaboom,002A10AA,4,0.00,0,0.00,USD
Amazon.com,2/17/2015,Minicar Champion : Circuit Race,004A10AA,10,0.00,0,0.00,USD
Amazon.com,2/17/2015,Highway Rally,003A10AA,14,0.00,0,0.00,USD
Amazon.com,2/17/2015,Peacekeeper,007A10AA,2,0.00,0,0.00,USD
Amazon.com,2/17/2015,Crash Drive 2,,280,0.00,0,0.00,USD
Amazon.com,2/17/2015,Wasabi,008A10AA,1,0.00,0,0.00,USD
Amazon.com,2/18/2015,Minicar Champion : Circuit Race,004A10AA,10,0.00,0,0.00,USD
Amazon.com,2/18/2015,Highway Rally,003A10AA,18,0.00,0,0.00,USD
Amazon.com,2/18/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,USD
Amazon.com,2/18/2015,Crash Drive 2,,269,0.00,0,0.00,USD
Amazon.com,2/19/2015,Minicar Champion : Circuit Race,004A10AA,3,0.00,0,0.00,USD
Amazon.com,2/19/2015,Highway Rally,003A10AA,13,0.00,0,0.00,USD
Amazon.com,2/19/2015,Crash Drive 2,,280,0.00,0,0.00,USD
Amazon.com,2/19/2015,Wasabi,008A10AA,1,0.00,0,0.00,USD
Amazon.com,2/20/2015,Cowaboom,002A10AA,3,0.00,0,0.00,USD
Amazon.com,2/20/2015,Minicar Champion : Circuit Race,004A10AA,18,0.00,0,0.00,USD
Amazon.com,2/20/2015,Highway Rally,003A10AA,25,0.00,0,0.00,USD
Amazon.com,2/20/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,USD
Amazon.com,2/20/2015,Crash Drive 2,,283,0.00,0,0.00,USD
Amazon.com.au,2/5/2015,Highway Rally,003A10AA,1,0.00,0,0.00,AUD
Amazon.de,1/31/2015,Highway Rally,003A10AA,3,0.00,0,0.00,EUR
Amazon.de,1/31/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/1/2015,Crash Drive 2,,4,0.00,0,0.00,EUR
Amazon.de,2/2/2015,Highway Rally,003A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/2/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/3/2015,Highway Rally,003A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/3/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/4/2015,Highway Rally,003A10AA,3,0.00,0,0.00,EUR
Amazon.de,2/5/2015,Minicar Champion : Circuit Race,004A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/5/2015,Highway Rally,003A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/6/2015,Highway Rally,003A10AA,3,0.00,0,0.00,EUR
Amazon.de,2/6/2015,Crash Drive 2,,3,0.00,0,0.00,EUR
Amazon.de,2/7/2015,Minicar Champion : Circuit Race,004A10AA,2,0.00,0,0.00,EUR
Amazon.de,2/7/2015,Highway Rally,003A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/7/2015,Crash Drive 2,,3,0.00,0,0.00,EUR
Amazon.de,2/8/2015,Minicar Champion : Circuit Race,004A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/8/2015,Highway Rally,003A10AA,2,0.00,0,0.00,EUR
Amazon.de,2/8/2015,Crash Drive 2,,3,0.00,0,0.00,EUR
Amazon.de,2/9/2015,Highway Rally,003A10AA,5,0.00,0,0.00,EUR
Amazon.de,2/9/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/10/2015,Highway Rally,003A10AA,2,0.00,0,0.00,EUR
Amazon.de,2/10/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/11/2015,Minicar Champion : Circuit Race,004A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/11/2015,Highway Rally,003A10AA,1,0.00,0,0.00,EUR
Amazon.de,2/11/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/12/2015,Highway Rally,003A10AA,3,0.00,0,0.00,EUR
Amazon.de,2/12/2015,Crash Drive 2,,2,0.00,0,0.00,EUR
Amazon.de,2/13/2015,Highway Rally,003A10AA,5,0.00,0,0.00,EUR
Amazon.de,2/13/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.de,2/14/2015,Highway Rally,003A10AA,3,0.00,0,0.00,EUR
Amazon.de,2/14/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,EUR
